citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
BOI-DEN,Boeing 737-700/700LR/Max 7,100.0,102.0,12019.0,14300.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOI-OAK,Boeing 737-700/700LR/Max 7,157.0,158.0,15228.0,22451.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-ATL,Boeing 737-300,93.0,97.0,9189.0,13071.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-ATL,Boeing 737-700/700LR/Max 7,143.0,146.0,15628.0,20449.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-AUS,Boeing 737-700/700LR/Max 7,79.0,80.0,9332.0,11297.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-BNA,Boeing 737-300,124.0,127.0,14467.0,17522.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-BWI,Boeing 737-300,261.0,277.0,27014.0,37095.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-BWI,Boeing 737-700/700LR/Max 7,343.0,354.0,35251.0,49049.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-BWI,Boeing 737-800,71.0,77.0,9468.0,12425.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-CMH,Boeing 737-300,73.0,75.0,4957.0,10409.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-CMH,Boeing 737-700/700LR/Max 7,75.0,76.0,6010.0,10725.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-DAL,Boeing 737-700/700LR/Max 7,88.0,89.0,8635.0,12584.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-DEN,Boeing 737-700/700LR/Max 7,51.0,55.0,6472.0,7293.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-HOU,Boeing 737-700/700LR/Max 7,161.0,162.0,16308.0,23023.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-IND,Boeing 737-300,19.0,21.0,878.0,2705.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-IND,Boeing 737-700/700LR/Max 7,135.0,139.0,9666.0,19305.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-MCI,Boeing 737-700/700LR/Max 7,124.0,127.0,9983.0,17732.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-MDW,Boeing 737-700/700LR/Max 7,95.0,97.0,10724.0,13585.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-MDW,Boeing 737-800,183.0,189.0,22684.0,32025.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-MKE,Boeing 737-300,48.0,49.0,5412.0,6822.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-MKE,Boeing 737-700/700LR/Max 7,99.0,101.0,6786.0,14157.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BOS-STL,Boeing 737-700/700LR/Max 7,94.0,95.0,10498.0,13442.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-BWI,Boeing 737-300,126.0,137.0,12638.0,17622.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-BWI,Boeing 737-700/700LR/Max 7,266.0,275.0,30829.0,38038.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-BWI,Boeing 737-800,15.0,16.0,1877.0,2625.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-FLL,Boeing 737-700/700LR/Max 7,172.0,175.0,21513.0,24596.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
